遠ざかっ,遠ざかる
凝らし,凝らす
似通っ,似通う
追いつい,追いつく
廻っ,廻る
踏み切っ,踏み切る
測っ,測る
切り出し,切り出す
酔っ払っ,酔っ払う
間に合っ,間に合う
祝っ,祝う
折っ,折る
明かし,明かす
見失っ,見失う
書き直し,書き直す
無くし,無くす
営ん,営む
釣っ,釣る
行き届い,行き届く
引き取っ,引き取る
溶かし,溶かす
決し,決す
持ち歩い,持ち歩く
襲い,襲ぐ
縫っ,縫う
考え直し,考え直す
差し引い,差し引く
歩き回っ,歩き回る
補っ,補う
仰っ,仰る
挙がっ,挙がる
出くわし,出くわす
受かっ,受かる
防い,防ぐ
鳴い,鳴く
書き下ろし,書き下ろす
根ざし,根ざす
次い,次ぐ
見回し,見回す
凍っ,凍る
走り出し,走り出す
取り除い,取り除く
病ん,病む
切り取っ,切り取る
汚し,汚す
詰め込ん,詰め込む
遣っ,遣う
噛ん,噛む
湿っ,湿る
賑わっ,賑わう
昇っ,昇る
計っ,計る
見越し,見越す
追い出し,追い出す
募っ,募る
継い,継ぐ
繰り出し,繰り出す
深まっ,深まる
煽っ,煽る
則っ,則る
先立っ,先立つ
起し,起す
根付い,根付く
読み直し,読み直す
基い,基く
言い渡し,言い渡す
競っ,競う
見入っ,見入る
吐き出し,吐き出す
生まれ変わっ,生まれ変わる
引渡し,引渡す
書き出し,書き出す
暮し,暮す
炊い,炊く
吹き出し,吹き出す
追い込ん,追い込む
取り外し,取り外す
思いこん,思いこむ
押し出し,押し出す
評し,評す
頷い,頷く
探し出し,探し出す
見なし,見なす
買い取っ,買い取る
通りかかっ,通りかかる
放し,放す
帰し,帰す
言い出し,言い出す
追い越し,追い越す
引き返し,引き返す
勝ち取っ,勝ち取る
乗り切っ,乗り切る
散らばっ,散らばる
遡っ,遡る
読み込ん,読み込む
垂れ流し,垂れ流す
近寄っ,近寄る
蘇っ,蘇る
奏し,奏す
定まっ,定まる
食らっ,食らう
仕込ん,仕込む
浸かっ,浸かる
感じ取っ,感じ取る
寝込ん,寝込む
戴い,戴く
止ん,止む
集っ,集う
持ち越し,持ち越す
使いこなし,使いこなす
拒ん,拒む
振り回し,振り回す
嫌がっ,嫌がる
分っ,分つ
開き直っ,開き直る
絡み合っ,絡み合う
逸し,逸す
脅かし,脅かす
考え込ん,考え込む
痛ん,痛む
切り開い,切り開く
落し,落す
飛び交っ,飛び交う
召し,召す
見つけ出し,見つけ出す
立て直し,立て直す
見積もっ,見積もる
見いだし,見いだす
緩ん,緩む
溶け込ん,溶け込む
横切っ,横切る
乗っかっ,乗っかる
養っ,養う
巻き起こし,巻き起こす
見下ろし,見下ろす
旅立っ,旅立つ
考え出し,考え出す
送り込ん,送り込む
行き詰まっ,行き詰まる
投げ出し,投げ出す
差し込ん,差し込む
馴染ん,馴染む
振り向い,振り向く
熟し,熟す
謳っ,謳う
指さし,指さす
想っ,想う
飲み込ん,飲み込む
立ち向かっ,立ち向かう
近付い,近付く
転がし,転がす
振り出し,振り出す
怒鳴っ,怒鳴る
放り込ん,放り込む
表わし,表わす
気取っ,気取る
買出し,買出す
名指し,名指す
舞っ,舞う
惜しん,惜しむ
掘り起こし,掘り起こす
滞っ,滞る
仰い,仰ぐ
思い描い,思い描く
刺さっ,刺さる
