マイアサ	毎朝
リョウシュウショ	領収書
フヘン	不変
シイレ	仕入れ
シアゲ	仕上げ
ナニゴト	何事
ブンポウ	文法
ナンデ	何で
タイキ	待機
ススム	進む
シンニュウ	進入
タダシイ	正しい
アシクビ	足首
チョクツウ	直通
ワタス	渡す
イジュウ	移住
ケサ	今朝
ジツレイ	実例
コウサテン	交差点
タツ	建つ
ハル	張る
ハンエイ	反映
ムゲン	無限
ムキゲン	無期限
セイキュウ	性急
キュウキョク	究極
ツウコウドメ	通行止め
ジツザイ	実在
ソウシン	送信
ツイキュウ	追求
ハンゲン	半減
ビジン	美人
ビヨウ	美容
ショウニン	商人
フカ	不可
ヘンヨウ	変容
ギリ	義理
ジュウヤク	重役
ヒトリ	独り
イニン	委任
トモバタラキ	共働き
チケイ	地形
エンケイ	円形
フケイキ	不景気
シツボウ	失望
ジョウハンシン	上半身
ノゾム	望む
ユウボウ	有望
オチツキ	落ち着き
ガクヒ	学費
ノハラ	野原
タノシイ	楽しい
タノシム	楽しむ
チノウ	知能
オコル	起こる
オモイキリ	思い切り
カクシン	核心
ココロエ	心得
マンイチ	万一
バンノウ	万能
ラッカンテキ	楽観的
カンシュウ	観衆
ジョウシャ	乗車
ロンリテキ	論理的
シャコウ	社交
ショクヒ	食費
バイテン	売店
マッサイチュウ	真っ最中
カク	格
カクベツ	格別
フエル	増える
ホンセン	本線
ユウノウ	有能
ムカウ	向かう
カンジュセイ	感受性
ジハク	自白
フカメル	深める
ハツビョウ	発病
ビョウニン	病人
ヒクイ	低い
ホウチ	放置
タツ	断つ
ナンビャク	何百
ハンスル	反する
ブキミ	不気味
マチナカ	町中
オウ	負う
チュウ	注
ウツス	移す
コウバン	交番
ミトメ	認め
ジサ	時差
ハンレイ	判例
ヒザシ	日差し
ハイタツ	配達
ハッタツ	発達
ゼンゼン	全然
ベッコ	別個
オンキョウ	音響
セイカク	正確
フウン	不運
オヤユビ	親指
シンセツ	親切
フビ	不備
シタシミ	親しみ
チカドウ	地下道
ドウリ	道理
チカミチ	近道
ガイ	害
テハイ	手配
チュウコ	中古
ズノウ	頭脳
ゴク	極
サンスウ	算数
テンカ	天下
ワカレル	別れる
グンコクシュギ	軍国主義
ドクダン	独断
ミタス	満たす
ユウイギ	有意義
マンテン	満点
エンズル	演ずる
ヘンケイ	変形
テビキ	手引き
ネアガリ	値上がり
ヒキダス	引き出す
タリョウ	多量
ショウリョウ	少量
タイボウ	待望
ソウギ	争議
カンセツ	間接
タイガク	退学
ウツワ	器
ショッキ	食器
ガイカン	外観
ダイギシ	代議士
チャクシュ	着手
ウワギ	上着
ニッコウ	日光
ワショク	和食
イチダンラク	一段落
カイロ	回路
タイヒ	対比
ダンドリ	段取り
ノコル	残る
ムザン	無残
ヒトリ	一人
ノコラズ	残らず
カイソウ	回想
ナイカ	内科
デンセン	電線
ユウキブツ	有機物
ウタガワシイ	疑わしい
ノウリツ	能率
オウトウ	応答
モヨオシ	催し
ヨナカ	夜中
ヨアケ	夜明け
ジコウ	時効
ハナツ	放つ
ミハナス	見放す
チシツ	地質
ハカル	図る
ナンダカ	何だか
シュウカン	週間
オトコマエ	男前
マツ	待つ
タメス	試す
イチヨウ	一様
ロクガ	録画
シントウ	神道
テイサイ	体裁
センレイ	先例
デンタツ	伝達
コウゼン	公然
ヒツゼンテキ	必然的
リョウシン	良心
デンキュウ	電球
カイキ	回帰
ホドウ	歩道
ケツマツ	結末
ゲツマツ	月末
シマツ	始末
シュウテン	終点
キャッカン	客観
ドテ	土手
イソグ	急ぐ
カンゲキ	感激
キョクゲン	極限
ミキワメル	見極める
テンタイ	天体
ビジョ	美女
コウテイ	工程
アワセル	合わせる
デンゴン	伝言
オテツダイ	お手伝い
ケイシキテキ	形式的
ネビキ	値引き
キキトリ	聞き取り
ワカ	和歌
ラッカ	落下
オトス	落とす
ジッピ	実費
ヒコウ	非行
メンダン	面談
オウセツ	応接
コノム	好む
コウテン	好転
ホドコス	施す
チョクゲキ	直撃
カリョク	火力
ムロン	無論
バンニン	万人
バンジン	万人
バンザイ	万歳
ガクイ	学位
ショウヒン	賞品
セッキョウ	説教
ハヤサ	速さ
ブシ	武士
モノオキ	物置
ノリモノ	乗り物
ハナミ	花見
カイショク	会食
ウミベ	海辺
テイショク	定食
ニッショク	日食
ツウロ	通路
バイシュン	売春
トビダス	飛び出す
ナゴリ	名残
アッコウ	悪口
ワルクチ	悪口
ボウスイ	防水
ボウセン	防戦
シロイ	白い
マッシロ	真っ白
ネントウ	年頭
クチサキ	口先
フカマル	深まる
ゴウ	号
カイトウ	解答
サイク	細工
オサマル	収まる
オサメル	収める
コウリョク	効力
ダンジテ	断じて
ダンスイ	断水
ダンテイ	断定
アオゾラ	青空
ナンゼン	何千
マチウケル	待ち受ける
ホソク	補足
カトキ	過渡期
シッカク	失格
トウバン	当番
ムセキニン	無責任
サシヒキ	差し引き
ナラビ	並び
ナミ	並み
コウシュウ	公衆
タッスル	達する
ビョウシツ	病室
ダンゼン	断然
ヒツゼン	必然
カンモン	関門
ウツル	写る
ヒッパル	引っ張る
キドウタイ	機動隊
ムセイゲン	無制限
ソナワル	備わる
キャクシツ	客室
ワフウ	和風
フルイ	古い
カクチョウ	拡張
ハッソウ	発送
ヒケツ	否決
シュジュ	種々
イッシュウ	一周
シンドウ	振動
オモカゲ	面影
エンマン	円満
ヤクニタツ	役に立つ
オクガイ	屋外
カオク	家屋
トウキ	登記
ヨム	読む
ソダツ	育つ
シツリョウ	質量
ウタゴエ	歌声
ネマワシ	根回し
ミヂカ	身近
ハンシン	半身
カイテ	買い手
ニガイ	苦い
セツゾク	接続
ショウカ	消火
